ISIN,SYMBOL,SERIES,TYPE,HAIRCUT
INF740K01334,DSPBRBALF,DR,OMF,7.5
INF740K01011,DSPBREF,DP,OMF,8.5
INF740K01037,DSPBREF,GR,OMF,8.5
INF740K01029,DSPBREF,DR,OMF,8.5
INF740K01532,DSPBRF25,GR,OMF,7.5
INF740K01540,DSPBRF25,DP,OMF,7.5
INF740K01AC7,DSPBRF25,DR,OMF,7.5
INF740K01151,DSPBRITF,GR,OMF,7.5
INF740K01136,DSPBRITF,DP,OMF,7.5
INF740K01144,DSPBRITF,DR,OMF,7.5
INF740K01FK9,DSPBRLIGF,GR,GMF,10
INF740K01797,DSPBRMCF,GR,OMF,7.5
INF740K01805,DSPBRMCF,DP,OMF,7.5
INF740K01AM6,DSPBRMCF,DR,OMF,7.5
INF740K01MK5,DSPBRMDF,DP,OMF,7.5
INF740K01QQ3,DSPBRMMF,GR,OMF,7.5
INF740K01QS9,DSPBRMMF,DP,OMF,7.5
INF740K01QR1,DSPBRMMF,DR,OMF,7.5
INF740K01094,DSPBROF,GR,OMF,7.5
INF740K01078,DSPBROF,DP,OMF,7.5
INF740K01086,DSPBROF,DR,OMF,7.5
INF740K01128,DSPBRSMF,GR,OMF,7.5
INF740K01102,DSPBRSMF,DP,OMF,7.5
